date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:19:45	32506/32506	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Sep%202022%2015:50:10%20GMT	https://html.design/demo/olests/index.html	/home/kumartej/websites/agriculture_5/html.design/demo/olests/index.html	(from )
12:19:46	112/112	---MCZ	200	added ('OK')	text/plain	date:Mon,%2012%20Sep%202022%2005:16:23%20GMT	https://html.design/robots.txt		(from )
12:19:46	673/673	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2006:29:36%20GMT	https://html.design/detroitchicago/boise.js	/home/kumartej/websites/agriculture_5/html.design/detroitchicago/boise.js	(from https://html.design/demo/olests/index.html)
12:19:48	673/673	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2007:48:07%20GMT	https://html.design/detroitchicago/boise.js?gcb=195-0&cb=2	/home/kumartej/websites/agriculture_5/html.design/detroitchicago/boise420f.js	(from https://html.design/demo/olests/index.html)
12:19:49	5651/5651	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2003:59:19%20GMT	https://html.design/detroitchicago/memphis.js	/home/kumartej/websites/agriculture_5/html.design/detroitchicago/memphis.js	(from https://html.design/demo/olests/index.html)
12:19:50	5651/5651	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2010:42:28%20GMT	https://html.design/detroitchicago/memphis.js?gcb=195-0&cb=21	/home/kumartej/websites/agriculture_5/html.design/detroitchicago/memphisf5cf.js	(from https://html.design/demo/olests/index.html)
12:19:51	619/619	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2022%20Sep%202022%2006:49:50%20GMT	https://html.design/detroitchicago/minneapolis.js	/home/kumartej/websites/agriculture_5/html.design/detroitchicago/minneapolis.js	(from https://html.design/demo/olests/index.html)
12:19:51	619/619	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2006:29:41%20GMT	https://html.design/detroitchicago/minneapolis.js?gcb=195-0&cb=4	/home/kumartej/websites/agriculture_5/html.design/detroitchicago/minneapolis453e.js	(from https://html.design/demo/olests/index.html)
12:19:53	2175/2175	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2007:48:12%20GMT	https://html.design/detroitchicago/rochester.js	/home/kumartej/websites/agriculture_5/html.design/detroitchicago/rochester.js	(from https://html.design/demo/olests/index.html)
12:19:54	2175/2175	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2007:48:13%20GMT	https://html.design/detroitchicago/rochester.js?gcb=195-0&cb=13	/home/kumartej/websites/agriculture_5/html.design/detroitchicago/rochester9620.js	(from https://html.design/demo/olests/index.html)
12:19:57	1404/1404	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2010:42:36%20GMT	https://html.design/detroitchicago/raleigh.js	/home/kumartej/websites/agriculture_5/html.design/detroitchicago/raleigh.js	(from https://html.design/demo/olests/index.html)
